frame.number;_ws.col.Time;_ws.col.Source;_ws.col.Destination;_ws.col.Protocol;_ws.col.Length;_ws.col.Info
20341;1262.850824;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2247
20342;1262.862569;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2248
20343;1262.862881;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2248
20344;1262.874436;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2249
20345;1262.874675;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2249
20346;1262.886702;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2250
20347;1262.887174;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2250
20348;1262.898290;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2251
20349;1262.898486;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2251
20350;1262.910073;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2252
20351;1262.910337;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2252
20352;1262.921521;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2253
20353;1262.921783;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2253
20354;1262.933546;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2254
20355;1262.933803;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2254
20356;1262.945409;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2255
20357;1262.945686;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2255
20358;1262.957877;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2256
20359;1262.958133;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2256
20360;1262.969529;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2257
20361;1262.969905;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2257
20362;1262.981122;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2258
20363;1262.981653;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2258
20364;1262.994285;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2259
20365;1262.994608;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2259
20366;1263.005343;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2260
20367;1263.005532;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2260
20368;1263.017326;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2261
20369;1263.017774;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2261
20370;1263.030670;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2262
20371;1263.030970;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2262
20372;1263.042582;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2263
20373;1263.042832;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2263
20374;1263.054390;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2264
20375;1263.054810;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2264
20376;1263.066823;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2265
20377;1263.067117;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2265
20378;1263.079058;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2266
20379;1263.079621;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2266
20380;1263.091667;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2267
20381;1263.091981;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2267
20382;1263.103989;10.10.10.10;10.10.10.20;TFTP;1346;Data Packet, Block: 2268
20383;1263.104183;10.10.10.20;10.10.10.10;TFTP;46;Acknowledgement, Block: 2268
20384;1263.478529;169.254.89.202;239.255.255.250;SSDP;217;M-SEARCH * HTTP/1.1 
20385;1263.527532;169.254.89.202;239.255.255.250;SSDP;210;M-SEARCH * HTTP/1.1 
